Text,Image
urn:cts:greekLit:tlg0012.tlg001.msA:24.1,"urn:cite:hmt:vaimg.VA310VN-0812@0.417,0.5908,0.456,0.1239"
urn:cts:greekLit:tlg0012.tlg001.msA:24.2,"urn:cite:hmt:vaimg.VA310VN-0812@0.493,0.6441,0.386,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:24.3,"urn:cite:hmt:vaimg.VA310VN-0812@0.493,0.6637,0.403,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:24.4,"urn:cite:hmt:vaimg.VA310VN-0812@0.492,0.6832,0.403,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:24.5,"urn:cite:hmt:vaimg.VA311RN-0481@0.228,0.1944,0.398,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:24.6,"urn:cite:hmt:vaimg.VA311RN-0481@0.231,0.217,0.398,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:24.7,"urn:cite:hmt:vaimg.VA311RN-0481@0.227,0.235,0.405,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:24.8,"urn:cite:hmt:vaimg.VA311RN-0481@0.22,0.2538,0.429,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:24.9,"urn:cite:hmt:vaimg.VA311RN-0481@0.225,0.274,0.429,0.021"
urn:cts:greekLit:tlg0012.tlg001.msA:24.10,"urn:cite:hmt:vaimg.VA311RN-0481@0.225,0.289,0.429,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:24.11,"urn:cite:hmt:vaimg.VA311RN-0481@0.222,0.3078,0.417,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:24.12,"urn:cite:hmt:vaimg.VA311RN-0481@0.218,0.3251,0.403,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:24.13,"urn:cite:hmt:vaimg.VA311RN-0481@0.221,0.3431,0.403,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:24.14,"urn:cite:hmt:vaimg.VA311RN-0481@0.22,0.3641,0.407,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:24.15,"urn:cite:hmt:vaimg.VA311RN-0481@0.22,0.3829,0.407,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:24.16,"urn:cite:hmt:vaimg.VA311RN-0481@0.222,0.3994,0.407,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:24.17,"urn:cite:hmt:vaimg.VA311RN-0481@0.226,0.4197,0.407,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:24.18,"urn:cite:hmt:vaimg.VA311RN-0481@0.226,0.4384,0.41,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:24.19,"urn:cite:hmt:vaimg.VA311RN-0481@0.228,0.4587,0.392,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:24.20,"urn:cite:hmt:vaimg.VA311RN-0481@0.223,0.476,0.419,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:24.21,"urn:cite:hmt:vaimg.VA311RN-0481@0.222,0.497,0.396,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:24.22,"urn:cite:hmt:vaimg.VA311RN-0481@0.221,0.5143,0.383,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:24.23,"urn:cite:hmt:vaimg.VA311RN-0481@0.221,0.533,0.404,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:24.24,"urn:cite:hmt:vaimg.VA311RN-0481@0.223,0.5541,0.406,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:24.25,"urn:cite:hmt:vaimg.VA311RN-0481@0.224,0.5698,0.414,0.0315"
urn:cts:greekLit:tlg0012.tlg001.msA:24.26,"urn:cite:hmt:vaimg.VA311RN-0481@0.223,0.5938,0.383,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:24.27,"urn:cite:hmt:vaimg.VA311RN-0481@0.224,0.6104,0.387,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:24.28,"urn:cite:hmt:vaimg.VA311RN-0481@0.222,0.6321,0.413,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:24.29,"urn:cite:hmt:vaimg.VA311RN-0481@0.224,0.6509,0.382,0.027"
